title,course_link,instructor,rating,price,description,level,skills
자바스크립트 ES6+ 심화,https://www.inflearn.com/course/자바스크립트-ES6-심화,김영보,100,38500,애플 웹사이트에 자주 등장하는 고급 인터랙션 효과들을 처음부터 직접 개발하는 방법을 배울 수 있습니다.,중급이상," 인터랙티브 웹, 클론코딩, SVG, Javascript, 웹 디자인, Front-End, HTML/CSS"
시간의 마법사 RxJS - setTimeout 은 No! 모든 비동기 작업들을 한방에 해결하자,https://www.inflearn.com/course/rxjs-비동기작업,이남훈,90,27500,Vue.js로 실무 하시는 분들께 필요한 모든 것을 담았습니다. 실제 백엔드 API로 구현하는 학습 노트 CRUD 애플리케이션. 생산성 높은 프로젝트 환경 구축과 백엔드 개발자와 협업하는 방법에 대한 메시지를 꼭 확인해보세요 :),중급이상," Front-End, Javascript, Vue.js, Vuex"
프로그래밍 시작하기: 웹 입문 (Inflearn Original),https://www.inflearn.com/course/웹개발-입문-인프런-오리지널,인프런,0,55000,단 시간에 실무에서 가장 많이 사용하는 인터랙티브 스킬 몇 가지를 배울수 있습니다.,초급," 인터랙티브 웹, Javascript, Front-End, 웹 개발, 웹 퍼블리싱"
몇 줄로 끝내는 인터랙티브 웹 개발 노하우 [초급편],https://www.inflearn.com/course/자바스크립트-인터랙티브-웹,코딩일레븐,90,44000,"처음으로 프로그래밍을 시작하는 분들을 위한 웹 개발 입문 강의입니다. HTML, CSS, Javascript를 배우고 인스타그램 포스팅 카드를 만들어봄으로써 웹페이지 제작에 꼭 필요한 기본적인 내용들을 학습합니다.",입문," 웹 개발, HTML/CSS, Javascript"
초보자도 만들 수 있는 애플 스크롤 인터렉션. 1편 자바스크립트,https://www.inflearn.com/course/애플-스크롤-인터렉션-자바스크립트,깡코딩,90,121000,"플레이봇은 Javascript 또는 Python으로 학생들이 SW를 보다 쉽게 학습할 수 있도록 만든 교육용 SW입니다.  여기서는 SW로 무엇을 할 수 있는지 배우고, 간단한 실습을 통해 컴퓨팅사고력을 기를 수 있도록 도움을 드립니다. (여기서 언어는 Javascript 사용)",입문, Javascript
Javascript ES6+ 제대로 알아보기 - 보너스,https://www.inflearn.com/course/자바스크립트-es6-보너스,정재남,100,0,웹 게임을 만들며 배우는 자바스크립트의 후속작으로 같은 게임을 타입스크립트로 만들어봅니다.,초급," Javascript, Typescript"
애플 웹사이트 인터랙션 클론!,https://www.inflearn.com/course/애플-웹사이트-인터랙션-클론,1분코딩,100,77000,"이 강좌를 통해 문법을 보다 명확하게 이해하시고, 문제 풀이에 대한 자신감을 얻으시길 바랍니다.",초급," Javascript, 알고리즘, 코딩 테스트"
처음하는 코딩 - 플레이봇 (중등교육 -Javascript),https://www.inflearn.com/course/플레이봇-중등교육-자바스크립트,제주코딩베이스캠프,0,22000,"인터랙티브 웹 프로젝트는, CSS와 자바스크립트를 이용해 창의적인 인터랙션이 있는 예제를 하나씩 만들어보는 시리즈입니다.",중급이상," HTML/CSS, Javascript, 웹 퍼블리싱, 웹 개발, 인터랙티브 웹"
[Vue.js입문] javascript Real 웹앱 개발 - 1부 : vue 개념 ~ 핵심 실습,https://www.inflearn.com/course/real-웹앱-개발-vuejs-1부,배동훈,77,11000,"다른 웹 어플리케이션을 내 손으로 구현하는 과정을 통해 여러분은 Vuejs의 중급 기술(Vuex, Vue-Router, Http)을 학습할 수 있을 것입니다. ",중급이상," Front-End, Javascript, Vue.js"
"Django, 데이터 분석, 프론트엔드까지 내 손으로 만드는 페이스북 클론 강의",https://www.inflearn.com/course/페이스북-풀스택-클론-웹개발,제주코딩베이스캠프,100,165000,이 강의를 통해 애플 등 국내 기업에서 많이 사용하는 UI 스크롤 인터렉션의 다양한 기법들과 모션 그래픽을 배울 수 있습니다.,초급," 인터랙티브 웹, 클론코딩, Javascript, Front-End, HTML/CSS"
자바스크립트 머신러닝 TensorFlow.js,https://www.inflearn.com/course/자바스크립트-머신러닝-TensorFlow,김영보,100,55000,"페이스북을 직접 만들어 보며 Django, 데이터 분석, 풀스택 웹 개발까지 경험해 볼 수 있는 강의입니다.",입문," HTML/CSS, 클론코딩, Javascript, Python, Django, Linux, 깃(GIT), 웹 개발, 서비스 개발"
생활코딩 - JavaScript Immutability,https://www.inflearn.com/course/javascript-immutability,Egoing Lee,98,0,"SW강사를 희망하는 모두를 위한 수업으로 커리큘럼과 자료 제공, 15년차 현직 강사의 노하우와 꿀팁까지 한번에 해결할 수 있습니다.","입문, 초급"," HTML/CSS, Javascript, Python, React Native"
나도 할 수 있다! SW강사!,https://www.inflearn.com/course/SW강사-강의,제주코딩베이스캠프,100,132000,"Vue.js로 쉽게 웹 개발할 수 있도록 기본 개념과 핵심 기능에 대해서 학습하고 구현해봅니다.
강좌를 들으시고 나면 Vue.js로 프런트엔드 개발을 하시는게 재밌어질거에요.",초급," Front-End, Javascript, Vue.js, 웹 개발"
Vue.js 끝장내기 - 실무에 필요한 모든 것,https://www.inflearn.com/course/vue-js-끝내기-캡틴판교,장기효(캡틴판교),97,110000,크리에이티브 넘치는 인터랙티브 웹페이지를 개발할 수 있는 기본기를 다질 수 있는 수업입니다.,초급," Front-End, HTML/CSS, Javascript, 웹 퍼블리싱, 웹 개발, 인터랙티브 웹"
웹 게임을 만들며 배우는 TypeScript,https://www.inflearn.com/course/웹게임을-만들며-배우는-typescript,조현영,77,33000,이 강좌는 함수형 프로그래밍과 JavaScript ES6+의 시리즈 강좌로 다양한 응용 사례를 다룹니다.,중급이상," Javascript, 함수형 프로그래밍, Back-End, Front-End"
자바스크립트 ES6+ 기본,https://www.inflearn.com/course/자바스크립트-ES6-기본,김영보,100,38500,"Do it! Vue.js 입문 -> Vue.js 초급 강좌 -> Vue.js 중급 강좌의 계보를 잇는 Vue.js 실전 강좌입니다.
Vue.js 를 실무에서 완벽히 활용 가능하도록 도와줄것 입니다.",중급이상," Front-End, Javascript, Vue.js"
"웹 개발 슈퍼 기초 (HTML, CSS, Javascript)",https://www.inflearn.com/course/웹-개발-기초-입문,개복치개발,95,11000,"Vue.js 중급 강좌 -  '누구나', '쉽게', '훌륭한' 웹 어플리케이션을 만들 수 있도록 도와주는 Vue.js 활용 강좌 입니다. Vue.js 에 대한 기본적인 이해를 바탕으로 Todo 앱을 만들어 보며 코드 중심의 실용적인 지식을 배우게 됩니다.",중급이상," Vue.js, ES6, Vuex, Javascript"
제주코딩베이스캠프 Code Festival: JavaScript 100제,https://www.inflearn.com/course/제주코딩-자바스크립트-100제,제주코딩베이스캠프,94,55000,ES6+ 제대로 알아보기 강좌는 Javascirpt의 ES6 및 이후의 표준 ECMAScript 명세에 대하여 이론을 바탕으로 ES5와 달라진 점 및 개념과 동작 원리를 깊이 있게 알려드립니다.,초급," ES6, Javascript"
3D리플릿 만들기 - 인터랙티브 웹 프로젝트,https://www.inflearn.com/course/인터랙티브웹-리플릿만들기,1분코딩,96,16500,"ES6+와 함수형 프로그래밍을 배울 수 있는 강의입니다. 이 강좌에서는 ES6+의 이터러블/이터레이터/제너레이터 프로토콜을 상세히 다루고 응용합니다.
이터러블을 기반으로한 함수형 프로그래밍, map/filter/reduce, 파이프라인, 제너레이터를 통한 지연 평가, Promise 합성, 동시성/병렬성, async/await와 비동기 에러 핸들링 등을 배울 수 있습니다. 이 강좌를 습득하고 연습하여 중급 자바스크립트 개발자로 성장하세요!",초급," Front-End, Javascript, 함수형 프로그래밍"
자바스크립트 중고급: 근본 핵심 이해,https://www.inflearn.com/course/자바스크립트-중고급,김영보,88,38500,리액트를 누구든지 쉽고 재밌게 시작 할 수 있도록 만들어진 강좌입니다.,초급," React, Front-End, Javascript"
"HTML, CSS, JS, Python 30분 요약강좌",https://www.inflearn.com/course/제주코딩-웹개발-30분요약,제주코딩베이스캠프,96,0,ES6+ 제대로 알아보기 강좌는 Javascirpt의 ES6 및 이후의 표준 ECMAScript 명세에 대하여 이론을 바탕으로 ES5와 달라진 점 및 개념과 동작 원리를 깊이 있게 알려드립니다.,초급," ES6, Javascript"
자바스크립트 비기너: 튼튼한 기본 만들기,https://www.inflearn.com/course/자바스크립트-비기너,김영보,91,33000,"자바스크립트 환경에서 머신러닝 개념을 다룹니다.
자바스크립트와 TensorFlow.js로 머신러닝을 구현하는 형태와 코드를 다룹니다.",중급이상," Tensorflow, Javascript, 머신러닝, 딥러닝"
"Angular, 앵귤러 100분 핵심강의",https://www.inflearn.com/course/Angular-100min,노마드크리에이터,60,27500,"생활코딩에서 제공하는 자바스크립트 관련 강의로, 자바스크립트에서 데이터를 불변하게 다루는 방법에 대한 수업입니다.",초급, Javascript
윤재성의 Vue.js 프로젝트를 통한 실무 개발 과정,https://www.inflearn.com/course/Vuejs-project,소프트캠퍼스,100,27500,"코딩을 처음 해볼까 라고 생각하신 분들을 위한 아주아주 기초적인 웹 개발에 대한 내용입니다.
",입문," HTML/CSS, Javascript, 웹 퍼블리싱"
Vue.js 시작하기 - Age of Vue.js,https://www.inflearn.com/course/Age-of-Vuejs,장기효(캡틴판교),98,33000,ES6+ 제대로 알아보기 강좌는 Javascript의 ES6 및 이후의 표준 ECMAScript 명세에 대하여 이론을 바탕으로 ES5와 달라진 점 및 개념과 동작 원리를 깊이 있게 살펴봅니다.,중급이상," Front-End, Javascript, ES6"
TDD 개발 방법론을 활용한 React Native 앱 개발,https://www.inflearn.com/course/React-TDD,박동호,89,29700,"노드가 무엇인지부터, 노드의 API, npm, 모듈 시스템, 데이터베이스 등을 배우고
5가지 실전 예제로 프로젝트를 만들어 나갑니다.",중급이상," Back-End, Javascript, Node.js, 웹 개발, MYSQL, MongoDB, 데이터베이스"
코알못에서 웹서비스 런칭까지 : 제주 코딩 베이스캠프(Django),https://www.inflearn.com/course/web_fullstack,제주코딩베이스캠프,91,99000,개발자 출신의 교육 전문가들이 만든 최고품질의 소프트웨어 교육기관 코드스쿼드에서 진행하는 코드스쿼드 마스터즈 코스 레벨1 입니다. Javascript 입문 과정으로서 직접 프로그래밍을 구현을 통해서 코딩의 기초 개념을 배우는것을 목표로 하고 있습니다.,입문, Javascript
함수형 프로그래밍과 JavaScript ES6+ 응용편,https://www.inflearn.com/course/함수형_ES6_응용편,유인동,100,44000,"ES6 이전까지의 자바스크립트 전체를 관통하는 핵심 개념들에 대하여, 전반적인 흐름을 살펴보는 강의입니다. ",초급," Javascript, 알고리즘"
인터랙티브 웹 개발 제대로 시작하기,https://www.inflearn.com/course/interactive_web,1분코딩,99,55000,"4개 강좌로 구성된 자바스크립트 바이블 강좌의 마지막 강좌입니다. 자바스크립트 스펙의 95% 이상을 다룹니다.
특히, 비동기 통신과 비동기 프로세스 전반을 11단계로 나누어 프레임워크를 만드는 개념으로 접근합니다.",초급," Javascript, 알고리즘, ES6"
Node.js로 웹 크롤링하기,https://www.inflearn.com/course/크롤링,조현영,96,55000,"이 강의를 수강하시면 Vue.js 와 관련된 기본적인 개념부터 Real 웹앱 개발을 해 볼 수 있습니다.  
이 강의는 1부 기본기 이며, 2부와 3부를 통해서 실제 Real 웹앱을 구현해 보도록 하겠습니다.
Javascript 나 CSS 와 같은 선수지식 없이도 기본적인 간단한 Html 만 알아도, 
학습할 수 있도록 쉽게 구성하였습니다.  
강의 후반부가 되면, 분명 Vue.js  에 대한 기본 코딩이 가능할 수 있을 것입니다.",초급," Javascript, Vue.js, 웹앱, 웹 개발, Front-End"
게임으로 배우는 JavaScript,https://www.inflearn.com/course/javascript-game,노마드크리에이터,0,0,4개 강좌로 구성된 자바스크립트 바이블 강좌의 1번째 강좌입니다. 기본에 충실하였습니다. 자바스크립트의 근본을 이해하는데 중점을 두었습니다. 자바스크립트 스펙(ES5 기준)의  95% 이상을 다룹니다.,초급," Javascript, 객체지향"
웹 게임을 만들며 배우는 자바스크립트,https://www.inflearn.com/course/자바스크립트-게임-개발,조현영,95,0,이 강좌는 Angular를 기반으로 간단하지만 유용한 petlist 프로젝트를 100분 핵심강의로 축약하여 짧은 시간에 실전에 활용할 수 있는 모바일 웹앱 개발역량을 키울 수 있습니다.,초급," Javascript, Angular"
Vue.js 완벽 가이드 - 실습과 리팩토링으로 배우는 실전 개념,https://www.inflearn.com/course/vue-js,장기효(캡틴판교),97,77000,제주에서 진행하는 부트캠프를 온라인으로! 빠르게 자신만의 서비스를 만들어보세요! :),입문," HTML/CSS, Javascript, Python, Django, Linux, JQuery, Bootstrap, 깃(GIT)"
함수형 프로그래밍과 JavaScript ES6+,https://www.inflearn.com/course/functional-es6,유인동,97,55000,https://opentutorials.org(생활코딩 사이트)를 만들어가면서 JavaScript에 대한 지식과 경험을 동시에 채워드리기 위한 목적으로 만들어진 수업입니다. ,초급, Javascript
윤재성의 처음시작하는 JavaScript Tutorials,https://www.inflearn.com/course/javascript,소프트캠퍼스,90,16500,"순수 자바스크립트와 VueJS라는 UI Library를 이용하여 쇼핑몰 검색 페이지를 만들어 보며 VueJS 개발 학습을 진행합니다.
순수 자바스크립트와 VueJs 로 개발을 각기 진행하며 각 개발의 차이점과 MVC, MVVM 디자인 패턴의 차이도 배울 수 있습니다.",초급," Front-End, Javascript, Vue.js"
Javascript ES6+ 제대로 알아보기 - 중급,https://www.inflearn.com/course/es6-2,정재남,99,49500,"자바스크립트로 데스크톱 앱을 만드는 방법 중 가장 인기있는 방법인 일렉트론을 익힐 수 있습니다.
슬랙, VSCODE 와 같은 알려진 프로그램들이 일렉트론으로 만들어졌습니다.
이번 일렉트론 기초 강좌를 통해서 데스크탑 앱을 만드는 기초적인 사용방법을 익히고,
간단한 앱을 만들어 볼수 있습니다.",초급," Electron, Javascript"
"트렐로 개발로 배우는 Vuejs, Vuex, Vue-Router 프론트엔드 실전 기술",https://www.inflearn.com/course/vuejs,김정환,96,55000,"Javascript를 비롯한 많은 프로그래밍 언어에서 비동기작업은 가장 까다롭고 소프트웨어의 복잡도를 올리는 요소 중 하나입니다. setTimeout, setInterval 과 같은 원시적인 비동기 프로그래밍은 버리고  RxJS 를 통해 복잡했던 비동기작업들을 손쉽게 처리할 수 있습니다.",초급," RxJS, Javascript, 함수형 프로그래밍"
Node.js 교과서 - 기본부터 프로젝트 실습까지,https://www.inflearn.com/course/node-js-교과서,조현영,87,55000,4개 강좌로 구성된 자바스크립트 바이블 강좌의 3번째 강좌입니다. 자바스크립트 스펙의 95% 이상을 다룹니다. ES6+ 환경에서 새로운 패러다임의 프로그램을 개발할 수 있습니다.,초급," Javascript, ES6"
윤재성의 처음 시작하는 jQuery Programming,https://www.inflearn.com/course/jquery-programming,소프트캠퍼스,100,16500,4개 강좌로 구성된 자바스크립트 바이블 강좌의 2번째 강좌입니다. 자바스크립트 엔진 이해를 통해 자바스크립트에 최적화된 프로그램을 개발할 수 있습니다. 자신 있게 시스템을 설계할 수 있습니다.,초급, Javascript
자바스크립트로 알아보는 함수형 프로그래밍 (ES5),https://www.inflearn.com/course/함수형-프로그래밍,유인동,97,0,이 강좌는 코딩을 처음 하시는 분들에게는 빠르게 훑을 수 있는 강의가 될 것입니다. 이미 코딩을 하시는 분들에게는 복습을 빠르게 할 수 있는 강의가 될 것입니다. 이 강의를 통해 자신감을 얻으셨으면 좋겠습니다.,입문," HTML/CSS, Javascript, Python"
누구든지 하는 리액트: 초심자를 위한 react 핵심 강좌,https://www.inflearn.com/course/react-velopert,velopert(김 민준),96,16500,본 과정은 VueJS의 기본적인 부분과 미니프로젝트를 통한 실무 개발 방식을 학습할 수 있습니다. VueJS를 적용하시면 웹 애플리케이션개발이 용이해지고 서버의 부담을 줄일 수 있어 최근 트랜드가 되는 개발 방식입니다. 본 과정을 학습하시게 되면 최근 많이 사용하는웹 개발 방식으로 개발을 하실 수 있게 됩니다.,초급," Front-End, Back-End, Javascript, Vue.js"
Javascript ES6+ 제대로 알아보기 - 초급,https://www.inflearn.com/course/ecmascript-6-flow,정재남,99,34650,"간단한 ReactNative 앱을 TDD 방법론을 통해 개발하면서 TDD 의 개념을 확실히 익히고, ReactNative 모바일 앱 개발에 적용할 수 있도록 연습합니다.",초급," Javascript, React, React Native, TDD, 모바일 앱"
"Vue.js 중급 강좌 - 웹앱 제작으로 배워보는 Vue.js, ES6, Vuex",https://www.inflearn.com/course/vue-pwa-vue-js-중급,장기효(캡틴판교),98,49500,"네이버, 아마존, 트위터, 유튜브, 페이스북, 인스타그램, unsplash.com 등의 사이트를 크롤링하며 실전에 적용해봅니다.",중급이상," Javascript, Node.js, 웹 크롤링"
쉽고 자연스럽게 배워보는 Javascript 입문 - 코드스쿼드 마스터즈 코스 레벨1,https://www.inflearn.com/course/javascript-자바스크립트-codesquad-masters_lv1,호눅스,99,22000,"본 강의에서는 자바스크립트를 활용해 프로그래밍하는 연습을 할 것입니다. 웹 게임인 구구단을 시작으로 끝말잇기, 숫자 야구, 틱택토, 로또 추첨기, 가위바위보, 지뢰 찾기, 카드 짝맞추기 게임, 자스스톤, 2048 게임, 테트리스까지 함께 만들어봅시다.",초급," Javascript, 게임개발"
실습 UI 개발로 배워보는 순수 javascript 와 VueJS 개발,https://www.inflearn.com/course/순수js-vuejs-개발-강좌,김정환,98,44000,"마플(http://www.marpple.com)의 CTO 유인동님이 알려주는 함수형 프로그래밍에 대한 강좌 입니다.
함수형 프로그래밍으로 라이브러리를 직접 만들어가며 함수형 프로그래밍의 패러다임과 코딩의 즐거움을 느낄 수 있습니다.",초급," 함수형 프로그래밍, Javascript"
WEB2 - JavaScript,https://www.inflearn.com/course/web2-javascript,Egoing Lee,99,0," 서버측 Javascript 인 NodeJS 를 이용해 쿠키, 로그인 기능을 구현해보고 앞선 nodeJS 강좌에서의 성과물과 합쳐 온전한 웹 애플리케이션을 만들어 보는 강좌입니다.",초급," Node.js, Javascript"
Javascript 핵심 개념 알아보기 - JS Flow,https://www.inflearn.com/course/핵심개념-javascript-flow,정재남,95,15400,생활코딩의 자바스크립트 언어 기본 수업입니다. 기본 문법을 통한 자바스크립트 기본에 대해 배울 수 있습니다.,입문, Javascript
퓨즈 스터디를 원하다[Wonhada],https://www.inflearn.com/course/fusetools,원강민,93,0,"JavaScript 언어에 대한 개요, 기초 문법, 제공 라이브러리까지 JavaScript에 대한 전반적인 내용을 학습할 수 있습니다.",입문, Javascript
모던 자바스크립트(javascript) 개발을 위한 ES6 강좌,https://www.inflearn.com/course/es6-강좌-자바스크립트,윤지수,92,0,생활코딩 자바스크립트 강좌 입니다. 웹브라우저를 직접 제어할 수 있는 자바스크립트 레퍼런스를 공부해 봅니다.,초급, Javascript
javascript 로 데스크탑 앱을 - 일렉트론 기초 강좌,https://www.inflearn.com/course/javascript-일렉트론-강좌,Mark Lee,98,55000,게임프로그램을 직접 만들어보면서 자바스크립트의 기본과 실전능력을 키우는 강의입니다. ,입문, Javascript
Node.js 웹개발로 알아보는 백엔드 자바스크립트의 이해,https://www.inflearn.com/course/node-js-웹개발,윤지수,91,0,JavaScript를 보다 쉽고 강력하게 사용할 수 있는 jQuery를 본 강의로 완성 할수 있습니다. ,초급," JQuery, Javascript"
Sencha ExtJS 6 로 화면개발 더이상 고민하지 말자 - 기초편,https://www.inflearn.com/course/sencha-extjs-6-기초,개발로짜,94,0,"Node.js,의 핵심기능을 다루면서 백엔드에서 자바스크립트가 어떻게 동작하는지를 알아보고, Angular나 React와 같은 복잡한 애플리케이션 개발(SPA)에 필요한 back-end 핵심 요소를 다룹니다.
간결한 동영상들로 핵심적인 내용들을 빠르고 중요하게 다뤄 개발의 흐름을 익히고, 따라하는 실습으로 개발 경험을 쌓을 수 있습니다.",중급이상," Back-End, Javascript, Node.js, Express"
Node.Js 활용하기,https://www.inflearn.com/course/node-js-활용,Egoing Lee,100,0,"자바스크립트 표준 ECMAScript!
큰 변화가 있었고, 모던 자바스크립트의 축이 되는 ES2015 (ES6) 를 학습하는 강좌 입니다. 
이 강좌는 전체내용을 교과서적으로 자세히 설명하는 방식이 아닌, 각 feature별 짧은 실습코드를 통해서 실제로 어떻게 구현하고 활용하는지를 배울 수 있습니다.

코드스쿼드의 윤지수 Front-End 마스터가 각 기능을 예제코드를 통해 이해하는 실습형 강좌입니다.",초급," Javascript, ES6"
자바스크립트 언어 기본 - javascript,https://www.inflearn.com/course/지바스크립트-언어-기본,Egoing Lee,98,0,"디자이너 + 퍼블리셔 + 개발자의 조합으로 대부분의 사이트를 제작합니다.
순수하게 Sencha의 ExtJS 컴포넌트를 이용하면, 디자이너와 퍼블리셔 없이 화면개발이 가능합니다.
단, 상용화 목적으로 ExtJS를 사용하신다면, 라이센스정책을 정확하게 숙지하시고 사용하시길 바라겠습니다.",초급, Javascript
웹브라우저 Javascript (자바스크립트),https://www.inflearn.com/course/javascript-자바스크립트-강좌,Egoing Lee,97,0,자바스크립트와 XML을 이용해 쉽고 빠르게 iOS와 안드로이드 앱을 만들어보세요.,중급이상," 모바일 앱, XML, Javascript"
